RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_Y	CURRENT_FIX_X	TRIAL_INDEX	TRIAL_LABEL
18JC	AFTER	380.10	512.50	90	Trial: 90
18JC	BEFORE	363.10	513.10	90	Trial: 90
18JC	NONE	396.60	503.60	91	Trial: 91
18JC	NONE	390.00	513.00	92	Trial: 92
18JC	NONE	384.20	502.90	92	Trial: 92
18JC	NONE	381.30	504.30	93	Trial: 93
18JC	NONE	392.60	509.00	94	Trial: 94
18JC	NONE	382.40	502.70	95	Trial: 95
18JC	NONE	384.00	509.40	96	Trial: 96
18JC	NONE	390.30	516.50	96	Trial: 96
18JC	NONE	384.60	524.00	97	Trial: 97
18JC	NONE	371.10	506.80	97	Trial: 97
18JC	NONE	380.10	508.40	98	Trial: 98
18JC	NONE	379.80	505.60	99	Trial: 99
18JC	NONE	389.70	513.80	100	Trial: 100
18JC	NONE	382.20	511.10	101	Trial: 101
18JC	NONE	387.40	507.70	102	Trial: 102
18JC	AFTER	383.90	511.50	103	Trial: 103
18JC	BEFORE	377.30	516.40	103	Trial: 103
18JC	AFTER	383.70	515.60	104	Trial: 104
18JC	BEFORE	381.10	519.40	104	Trial: 104
18JC	AFTER	384.70	513.50	105	Trial: 105
18JC	BEFORE	378.40	511.90	105	Trial: 105
18JC	AFTER	385.60	510.90	106	Trial: 106
18JC	BEFORE	375.40	498.40	106	Trial: 106
18JC	NONE	391.00	508.60	107	Trial: 107
18JC	AFTER	380.70	508.70	108	Trial: 108
18JC	BEFORE	386.40	513.40	108	Trial: 108
18JC	NONE	377.00	503.90	109	Trial: 109
18JC	NONE	375.50	517.80	110	Trial: 110
18JC	NONE	370.90	520.80	110	Trial: 110
18JC	AFTER	386.90	511.10	111	Trial: 111
18JC	BEFORE	382.80	508.90	111	Trial: 111
18JC	NONE	376.70	511.40	112	Trial: 112
18JC	AFTER	386.50	508.70	113	Trial: 113
18JC	BEFORE	382.70	513.90	113	Trial: 113
18JC	NONE	381.80	505.20	114	Trial: 114
18JC	NONE	384.40	508.40	115	Trial: 115
18JC	AFTER	385.80	498.80	115	Trial: 115
18JC	BEFORE	388.00	504.30	115	Trial: 115
18JC	NONE	388.10	501.30	116	Trial: 116
18JC	NONE	383.90	502.20	116	Trial: 116
18JC	AFTER	383.50	510.80	117	Trial: 117
18JC	BEFORE	378.80	508.80	117	Trial: 117
18JC	NONE	381.30	507.90	118	Trial: 118
18JC	NONE	388.00	506.50	119	Trial: 119
18JC	NONE	377.50	513.00	120	Trial: 120
18JC	NONE	374.20	499.10	120	Trial: 120
18JC	NONE	380.50	504.70	121	Trial: 121
18JC	NONE	375.90	511.70	122	Trial: 122
18JC	AFTER	383.00	516.50	123	Trial: 123
18JC	BEFORE	376.10	517.30	123	Trial: 123
18JC	NONE	378.20	508.60	123	Trial: 123
18JC	NONE	378.50	509.90	124	Trial: 124
18JC	NONE	365.70	508.50	124	Trial: 124
18JC	NONE	390.10	503.00	125	Trial: 125
18JC	NONE	376.20	511.80	126	Trial: 126
18JC	NONE	377.00	505.60	126	Trial: 126
18JC	NONE	375.40	509.40	127	Trial: 127
18JC	NONE	383.70	515.40	128	Trial: 128
18JC	NONE	389.50	515.00	129	Trial: 129
18JC	AFTER	384.30	512.20	130	Trial: 130
18JC	BEFORE	386.40	516.30	130	Trial: 130
18JC	NONE	383.20	509.80	131	Trial: 131
18JC	NONE	383.40	512.50	132	Trial: 132
18JC	NONE	385.70	510.50	133	Trial: 133
18JC	NONE	386.50	508.30	134	Trial: 134
18JC	NONE	380.20	510.60	135	Trial: 135
18JC	NONE	376.20	506.10	136	Trial: 136
18JC	NONE	383.80	518.40	137	Trial: 137
18JC	NONE	385.50	512.90	137	Trial: 137
18JC	NONE	349.70	494.30	137	Trial: 137
18JC	NONE	378.90	508.00	138	Trial: 138
18JC	NONE	387.20	505.40	139	Trial: 139
18JC	NONE	386.60	512.00	140	Trial: 140
18JC	NONE	382.60	508.30	141	Trial: 141
18JC	NONE	383.80	510.90	142	Trial: 142
18JC	NONE	378.70	505.70	143	Trial: 143
18JC	NONE	380.40	503.30	144	Trial: 144
18JC	NONE	380.80	510.80	145	Trial: 145
18JC	NONE	379.50	506.70	146	Trial: 146
18JC	NONE	383.10	513.50	147	Trial: 147
18JC	NONE	378.40	508.40	148	Trial: 148
18JC	AFTER	382.50	510.80	149	Trial: 149
18JC	BEFORE	371.90	515.30	149	Trial: 149
18JC	AFTER	376.90	515.10	150	Trial: 150
18JC	BEFORE	370.20	525.00	150	Trial: 150
18JC	NONE	375.50	513.70	150	Trial: 150
18JC	AFTER	382.20	513.30	151	Trial: 151
18JC	BEFORE	384.20	506.10	151	Trial: 151
18JC	AFTER	385.80	512.40	152	Trial: 152
18JC	BEFORE	382.50	510.10	152	Trial: 152
18JC	AFTER	381.60	513.10	153	Trial: 153
18JC	BEFORE	383.90	504.90	153	Trial: 153
18JC	NONE	383.20	506.80	154	Trial: 154
18JC	AFTER	389.70	514.40	155	Trial: 155
18JC	BEFORE	386.10	515.10	155	Trial: 155
18JC	NONE	408.20	491.20	155	Trial: 155
18JC	NONE	380.10	510.20	156	Trial: 156
18JC	NONE	380.30	512.50	157	Trial: 157
18JC	NONE	374.80	515.30	158	Trial: 158
18JC	NONE	392.40	502.10	159	Trial: 159
18JC	AFTER	396.60	506.40	159	Trial: 159
18JC	BEFORE	395.60	502.20	159	Trial: 159
18JC	AFTER	383.70	512.70	160	Trial: 160
18JC	BOTH	367.10	510.30	160	Trial: 160
18JC	BEFORE	365.90	498.30	160	Trial: 160
18JC	AFTER	385.30	506.40	161	Trial: 161
18JC	BEFORE	383.10	507.70	161	Trial: 161
18JC	AFTER	386.50	508.40	162	Trial: 162
18JC	BEFORE	372.80	498.10	162	Trial: 162
18JC	AFTER	383.40	511.40	163	Trial: 163
18JC	BEFORE	383.20	511.30	163	Trial: 163
18JC	NONE	374.60	517.90	164	Trial: 164
18JC	NONE	373.90	538.90	164	Trial: 164
18JC	NONE	373.70	521.40	164	Trial: 164
18JC	NONE	375.90	510.80	165	Trial: 165
18JC	AFTER	389.70	509.70	166	Trial: 166
18JC	BEFORE	377.10	514.90	166	Trial: 166
18JC	AFTER	386.40	512.40	167	Trial: 167
18JC	BEFORE	392.30	508.90	167	Trial: 167
18JC	AFTER	387.60	510.40	168	Trial: 168
18JC	BEFORE	368.80	512.40	168	Trial: 168
18JC	NONE	378.30	514.00	169	Trial: 169
18JC	NONE	384.90	512.90	170	Trial: 170
18JC	AFTER	385.80	507.40	171	Trial: 171
18JC	BEFORE	385.30	511.20	171	Trial: 171
18JC	AFTER	383.50	510.40	172	Trial: 172
18JC	BEFORE	380.00	512.20	172	Trial: 172
18JC	AFTER	380.50	507.00	173	Trial: 173
18JC	BEFORE	388.10	510.30	173	Trial: 173
18JC	AFTER	371.60	510.20	174	Trial: 174
18JC	BEFORE	374.10	510.50	174	Trial: 174
18JC	NONE	385.20	513.20	175	Trial: 175
18JC	AFTER	375.10	502.40	176	Trial: 176
18JC	BEFORE	377.20	523.90	176	Trial: 176
18JC	NONE	381.20	513.30	177	Trial: 177
18JC	NONE	381.80	513.10	178	Trial: 178
18JC	AFTER	383.30	509.50	179	Trial: 179
18JC	BEFORE	381.70	516.50	179	Trial: 179
18JC	NONE	373.10	502.70	180	Trial: 180
18JC	NONE	395.80	522.90	181	Trial: 181
18JC	NONE	382.90	503.40	181	Trial: 181
18JC	NONE	375.60	504.90	182	Trial: 182
18JC	NONE	388.80	511.80	183	Trial: 183
18JC	AFTER	384.60	508.20	184	Trial: 184
18JC	BEFORE	393.70	509.50	184	Trial: 184
18JC	NONE	384.50	518.80	185	Trial: 185
18JC	NONE	376.40	508.00	186	Trial: 186
18JC	AFTER	381.00	509.20	187	Trial: 187
18JC	BEFORE	382.80	507.70	187	Trial: 187
18JC	NONE	378.00	510.60	188	Trial: 188
18JC	NONE	386.70	497.60	189	Trial: 189
18JC	NONE	391.10	506.00	189	Trial: 189
18JC	NONE	384.70	511.90	190	Trial: 190
18JC	AFTER	380.10	514.20	191	Trial: 191
18JC	BEFORE	375.90	511.30	191	Trial: 191
18JC	NONE	382.00	514.40	192	Trial: 192
18JC	NONE	384.30	509.30	193	Trial: 193
18JC	AFTER	379.60	511.70	194	Trial: 194
18JC	BEFORE	368.40	508.30	194	Trial: 194
18JC	NONE	375.30	508.80	195	Trial: 195
18JC	AFTER	387.40	512.20	196	Trial: 196
18JC	BEFORE	375.50	509.50	196	Trial: 196
18JC	NONE	385.70	505.30	197	Trial: 197
18JC	AFTER	381.40	510.90	198	Trial: 198
18JC	BEFORE	368.90	510.80	198	Trial: 198
18JC	NONE	375.00	506.00	198	Trial: 198
18JC	AFTER	380.50	506.40	199	Trial: 199
18JC	BEFORE	376.50	501.50	199	Trial: 199
18JC	NONE	377.40	507.20	200	Trial: 200
18JC	AFTER	386.00	515.80	201	Trial: 201
18JC	BEFORE	376.40	514.50	201	Trial: 201
18JC	AFTER	382.90	514.60	202	Trial: 202
18JC	BEFORE	369.00	512.00	202	Trial: 202
18JC	AFTER	380.80	511.20	203	Trial: 203
18JC	BEFORE	370.40	508.60	203	Trial: 203
18JC	NONE	379.90	514.70	204	Trial: 204
18JC	NONE	376.40	510.50	205	Trial: 205
18JC	AFTER	380.40	510.50	206	Trial: 206
18JC	BEFORE	368.70	515.00	206	Trial: 206
18JC	AFTER	391.30	506.40	207	Trial: 207
18JC	BEFORE	386.80	504.70	207	Trial: 207
18JC	NONE	387.10	510.70	208	Trial: 208
18JC	AFTER	383.80	513.10	209	Trial: 209
18JC	BEFORE	379.70	511.20	209	Trial: 209
18JC	NONE	353.10	510.00	209	Trial: 209
18JC	NONE	376.80	515.60	209	Trial: 209
18JC	NONE	378.40	503.10	210	Trial: 210
18JC	NONE	388.80	503.80	210	Trial: 210
18JC	AFTER	382.80	507.40	211	Trial: 211
18JC	BEFORE	372.40	506.60	211	Trial: 211
18JC	NONE	375.70	508.00	212	Trial: 212
18JC	NONE	368.20	497.60	212	Trial: 212
18JC	NONE	373.90	518.20	213	Trial: 213
18JC	NONE	378.80	519.80	214	Trial: 214
18JC	NONE	384.00	507.20	215	Trial: 215
18JC	NONE	381.30	513.80	216	Trial: 216
18JC	NONE	376.50	514.40	217	Trial: 217
18JC	NONE	373.10	511.00	217	Trial: 217
18JC	AFTER	381.50	515.50	218	Trial: 218
18JC	BEFORE	372.60	517.20	218	Trial: 218
18JC	NONE	384.20	513.30	219	Trial: 219
18JC	NONE	384.80	510.30	220	Trial: 220
18JC	NONE	384.10	517.40	221	Trial: 221
18JC	NONE	376.60	511.20	221	Trial: 221
18JC	NONE	373.20	509.20	222	Trial: 222
18JC	NONE	380.20	514.40	223	Trial: 223
18JC	NONE	373.20	502.40	224	Trial: 224
18JC	AFTER	385.90	514.30	225	Trial: 225
18JC	BEFORE	378.20	503.30	225	Trial: 225
18JC	AFTER	388.10	510.70	226	Trial: 226
18JC	BEFORE	378.80	505.60	226	Trial: 226
18JC	NONE	377.20	507.90	227	Trial: 227
18JC	NONE	384.20	509.70	228	Trial: 228
18JC	NONE	383.20	511.10	229	Trial: 229
18JC	NONE	378.50	512.10	230	Trial: 230
18JC	AFTER	380.60	510.00	231	Trial: 231
18JC	BEFORE	379.60	510.10	231	Trial: 231
18JC	AFTER	387.20	512.00	232	Trial: 232
18JC	BEFORE	383.50	513.80	232	Trial: 232
18JC	AFTER	382.00	507.50	233	Trial: 233
18JC	BEFORE	387.30	512.90	233	Trial: 233
18JC	NONE	378.90	513.70	234	Trial: 234
18JC	NONE	382.00	519.00	235	Trial: 235
18JC	NONE	391.80	506.40	236	Trial: 236
18JC	NONE	389.60	510.80	237	Trial: 237
18JC	NONE	388.50	508.20	237	Trial: 237
18JC	AFTER	385.90	515.50	238	Trial: 238
18JC	BEFORE	377.10	521.20	238	Trial: 238
18JC	NONE	406.90	507.20	239	Trial: 239
18JC	NONE	383.30	504.90	239	Trial: 239
18JC	NONE	369.50	513.90	240	Trial: 240
18JC	NONE	380.10	507.90	241	Trial: 241
18JC	NONE	417.00	529.80	242	Trial: 242
18JC	NONE	407.10	520.60	242	Trial: 242
18JC	NONE	380.80	507.90	242	Trial: 242
18JC	NONE	369.50	505.30	243	Trial: 243
18JC	NONE	379.10	513.60	244	Trial: 244
18JC	NONE	378.00	512.20	245	Trial: 245
18JC	NONE	380.10	509.70	246	Trial: 246
18JC	NONE	383.00	512.20	247	Trial: 247
18JC	NONE	372.80	508.10	248	Trial: 248
18JC	NONE	374.60	507.00	248	Trial: 248
18JC	NONE	378.00	515.70	249	Trial: 249
18JC	NONE	380.40	509.20	250	Trial: 250
18JC	NONE	368.00	504.80	251	Trial: 251
18JC	NONE	378.90	513.30	252	Trial: 252
18JC	NONE	368.40	508.30	253	Trial: 253
18JC	NONE	381.30	516.50	254	Trial: 254
18JC	NONE	383.80	507.70	255	Trial: 255
18JC	NONE	382.80	518.80	256	Trial: 256
18JC	NONE	373.40	510.20	257	Trial: 257
18JC	NONE	388.90	522.10	258	Trial: 258
18JC	NONE	387.60	509.30	259	Trial: 259
18JC	NONE	366.70	503.90	260	Trial: 260
18JC	NONE	392.50	490.80	261	Trial: 261
18JC	NONE	389.60	505.30	261	Trial: 261
18JC	NONE	378.70	513.70	262	Trial: 262
18JC	NONE	379.20	508.50	263	Trial: 263
18JC	NONE	381.10	515.80	264	Trial: 264
18JC	NONE	377.40	502.50	265	Trial: 265
18JC	NONE	381.60	516.50	266	Trial: 266
18JC	NONE	379.60	518.40	267	Trial: 267
18JC	AFTER	378.80	511.50	268	Trial: 268
18JC	BEFORE	380.10	501.40	268	Trial: 268
18JC	NONE	382.80	512.30	269	Trial: 269
18JC	NONE	375.10	506.60	270	Trial: 270
