experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	baseAngle	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	streamLtrSequence18	streamLtrSequence19	streamLtrSequence20	timingBlips
main	10 	Alex 	 oneCued 	 0.0 	 left 	 292.622287031 	B 	V 	0.0 	5 	0 	1.0 	RAGDZSWOHVBMJKCYPNTLUEIFXQ	QJGXBRLOZTMPDFAEHWVNIKSCUY	DPZBCUFNRJTXHWYSEIOLVMQKAG	VQWLSMGUONCYRXIHFBJZPTADKE	BJFDGATEPRNHLYVQCXWZSMOUIK	QJFHRXYSVBGOMDLTKZWUENCPIA	ZCEPGOWUVBLISMFQYXJTKDANHR	QMEZTJGHSUVALBCYFPWKRDNXIO	CLUBQHPDKGYOWMIFXZRAJENTSV	WQUYPZXJLCMTEBIOVAKHNFDRSG	LHVWORCTYEDKSIMJXGZQPFNBAU	AXHDKPYMUBEZLIQJSNTFGOCRVW	LTRAXYIGSQFNODCHWVEJPZKBUM	KBSRNWEUTHYMZFJLGCQAIOXPVD	TVESKHQPFUIGRCADXWBMYJNLOZ	CEWIXLOYJSMZFBPGHKDQVURNTA	IVRJYULSGXTKHBMQPWOANEZCFD	EPNIVLXFYKHQASRUZBTMJCGDWO	VNTAIWXKUMYQFRLSZBOPDJEGCH	AOZNIDYCVWTRFXBUMJHGSPKELQ	RKYMLCOGVPSHXQTBEZFDWJANUI	0
main	11 	Alex 	 oneCued 	 0.0 	 left 	 1.07858348788 	A 	Z 	0.0 	3 	0 	2.0 	YWMCUVAPQFRLTIXDBHZKEJNOGS	DLZVUHKNXTOJBYMESRWQGFPAIC	QYMANHUXGOWZCSPIBEVJRDKFTL	DJOQNRTBZPAKGYVSLXMHWEFUCI	DJBOSTYARNGXFUCPMEQWHKLZIV	VPWRNYMXGHZAUJOTIBQFDESCKL	BAQYKMIVGEUWROXNSFHLZCPJTD	BNAKZXJWMECROTVDGUHSQILFPY	BYELZWTODXPKUVRGNCFJHMAQSI	ESBLXFJKCOZIWTRGVPHADYUMQN	KXFVUCIPQANOJEGLDZSHRWTBMY	ABNGHQFYWUKRTIZLSJCVODXEPM	YUXMTQIBFJOKHVCGNLSPERZWDA	TIBXCEWNFHLOGUVKAJQYDSZRMP	EXOYRHZTISCBJUFDPAGNWQVMKL	FWIMESBOXHTYQJRKACDLZPGVNU	CKBXUAJGSOQZRIHTYNWFVPLEDM	NCXQJMADYZRLUHBVOIKTFSWGEP	HFLZTMWJIYXUDNPCKVAEBOSQGR	NHOYCXPLQMTIWRZFJDBKAVGEUS	BHZPSXGVFUOTMYRAEKDJINLCWQ	0
main	12 	Alex 	 oneCued 	 0.0 	 right 	 109.474434457 	K 	F 	0.0 	10 	0 	-4.0 	QHCTZJPARXKOSEYNWUFIBDMGVL	BYPIUOMAJNZQCVGDFSEXLTRHKW	OFNKEJVXRHPIZYSWGLUCDQABMT	QHYTVRPWDLISGKBFZEMJOCXNAU	MNULHGBITVCPOARJSQWYZXEFKD	NCWRJDXUASYGKTOHMLEVZIBPQF	OAJPFTXBYNGZEDIULRKMVHQWSC	DXOEZHYWKMITSLCVURQBNGJFPA	LCIKVXWJSBHODQPEUTYRGANFMZ	RGATQCJZWNUMSLPIOVBEHFYKDX	WOVXTZKDNRFAYLQBCGIMJPEHSU	UHMGLJTZQDENVAIYFKBPCXWORS	DMNBAZWOQTCLPSUKXYFIRGJEHV	ZGRHWMYCXTSJQBLUPKIEDVANOF	KSXFNZBAQIDRCJWLEHMTUPGVYO	QRJUCIASXNVPTYDZEMFOBLWGKH	KVEDXCNIBRMHFUZSQJYLGTOWAP	JZOCUFXLIQRSAEYWGPBNDHTKMV	NSQJEOAKRDLWVUIYTGPMBHXCZF	ECPRJOUHBZTXWFIVDNQSKAYLMG	VMSUBWHODCTFERXAGJNQPKILYZ	0
main	13 	Alex 	 oneCued 	 0.0 	 left 	 101.994384089 	V 	F 	0.0 	13 	0 	2.0 	QGVLCWAZDTSKYHONPRXIFEUJBM	KIADGZONBMUQXPWJYTEVLHCSFR	VKCMOZBGFDHIJEXTAQRYWUPLSN	DQBWSJGHNYOIPVUEXKALCRTFZM	QOAXLEKSZCTFRGHYJDWMBINUVP	LHFGYTEVIPSMUDJWBNQKXOZRCA	AGNHSOXRVZBLQKTFPEIYWUMJCD	AQIZMUBNCVTRSGYLDFXHKEOPWJ	UACPTXDRZNYVIBSLFOQGWKEJMH	DWZOAILXBYTGNHFQPJSCKEURMV	BUXVLGMPCWFNZIJQRAKYDHSETO	JKMLFYHEVDAZUQIPBTRWOCGNSX	JVLDRAYHBOFCKGPUMXWSITNZQE	WEZGSRFPVHQMUYOIAXLJDCNKBT	WQSKDGXHALTIBZEYRMNVPOCJUF	GEUAKRMSWTIJHYLVFCBZONQPXD	FVYSHCPJDRKZGXTIOBNAWULMEQ	GJPVQUZFTSBIDMHLWRAYOXECNK	FNVTZWOAMRBHDQEYKSCPUJILGX	VHQNUPXRZDBEMWOKLCFJSITGAY	GQPUNXVOIKALDSBZJETFYRWMCH	0
main	14 	Alex 	 oneCued 	 0.0 	 right 	 260.245264921 	D 	K 	0.0 	19 	0 	-5.0 	SADKHFQTUIRGMXPLWNCJZOEVBY	SNCEIORUYWTVQPFHXZBDGMALKJ	PMUSLCNAIBKGFXZRDTJHQEYVWO	SLOQIRKHPNECBMXGZFYVUTDWAJ	RBZPNVYSFXCMKTOJAWGDIQHEUL	KJVIGWYRDCTSQOUBFXLMNPZAEH	PTMLWNASRZBYIJFGOEKCUHXDVQ	TPNYAUSBVMXZQIOWCHRLGJKDEF	EFQAWHYOXNMPLZVTRDJBICKSUG	YAFGLUERDKHXOTVNMBCWSQIJZP	GBQDWVMTRLYKXUIPAZHFCSJNOE	THWXDREIGQPJNYZSAUFLMBOVKC	LCKOVRNHXDPFWTGIUSBAMJYEQZ	JLDCMPNEBFYAHRWTVGUXZSQIOK	EXAYLOKZRFUNDHMGQTCSVIBPJW	QMZPNLTRBGHWOFCSDXJKAYVUEI	VJPHNDYCKZGBLUXRTMQSFOWAEI	JLEMXYWNOTQRKVBZCDSAIFGPUH	UJYRAGZMNOFBWKSTHXVDILEQPC	VRUDGWHAKOICBNLSTZQYEPMFXJ	WDVBOYPZHGKLAQFTJRMNIXSCEU	0
main	15 	Alex 	 oneCued 	 0.0 	 left 	 13.5701925853 	R 	H 	0.0 	2 	0 	2.0 	FHQVZSGAECKLJDXNYUBMWTRIOP	GVUIEOTLWFHQABSDKMJXNYCRPZ	YOGJWMXESHQRNPDULZFBAICTKV	AIGZWXFCQVJSLUOHEBRKYPMNTD	FYZXVPKNDUTAJMROBLSGHIWQEC	ZTQIPBCLWFDNVXJMKEHYUORGAS	WNYLFSUBTVQMIOEHXGCPZKADJR	QBGZMAOPFUSDWXVNYERKIHTJCL	GFEBSMZCHDYOJLWAXVNPTQRKIU	XANBEIHJWSMFRGUOKZYPLDVTCQ	ZARPGDMBFKXCHWLNIQYSVTOJUE	JZTOKNLFSMGEHVRUQBXCIDPAYW	CBHWNIYOMXSPFULQKJATEGRDZV	LIRDCMKASBPTZHGVFUNOEWJQYX	ETGOPIDBZHSRUXCVFKMAQNWLYJ	VKHMLECPNDJXBTWIZOQFGRUSAY	JFRZWHLEYNQDTUXACVKMBISOPG	TAPSLBQWNGZKUCFEYXJMIVRDHO	PLVRNMFHBJCYKESGDWOIQTZAUX	HTYZFJGCPNBVQKELIXWMRAOSDU	SVWJQINXDYGATOBEMCKLFHPUZR	0
main	16 	Alex 	 oneCued 	 0.0 	 left 	 296.04341186 	E 	T 	0.0 	2 	0 	1.0 	FILWGDREUBMXCZKJQYOPVHSNAT	VXPOSJTCQUGNZDLBHFKERYMWIA	FOXCZYPTEUNHIRLJVSDMAQGWKB	UKOXSRJWTNAEQYGDPIMFLZCHVB	FXUJMHTRWAEPYIDGNBSQCKVZOL	ENKMUCPDARYLBSVJWOHZIFXTGQ	NYLGVQREFITBUHZOJDCAPXWKMS	MDOKVAQGXUHYIRFSWJTECNPBZL	JCYOUDPTKEHBQRWGLMVANSZIFX	UBEZCMPTYJQVNOXKLIRWFGHSDA	NSRMOGIBVLUQTDFEPWXHJKZCAY	FZABUTMCLDPGYIHNKSWOQEJRVX	EVYGOJHAPWILFZNRDTBSCQMXKU	EFWQSXPMTYGOCKRBVINUAJZHLD	LGHIXZEPWMJRCNUFSTDVQOAKBY	EBDHAQGZJRUOFNLXPSVIMWKYTC	HQTUELJBNFYRMAXWDGPOZKVSCI	GTKPRXECIJLWYHQBVNSUOZADMF	PYGIVOTBUNJRQSLKWEMZCADHXF	QTRFJWEBLNZVKGCDASPOHXUYIM	WSJYUVAMLKHBOCDGZIXEQNPTFR	0
main	17 	Alex 	 oneCued 	 0.0 	 right 	 211.969644889 	M 	T 	0.0 	0 	0 	2.0 	IHCQXFTKMASWPONLBRYEJDZGVU	JFPMBUVYOGDZKXLIHCSERWTNQA	GVWXPSYCLMAQKRJUFZETDOHNBI	SYHDNFGQVIPRKOUEJLMWBZCATX	UHGTLQCSBEAWVNYXFDIKOMPRJZ	UHFRPIKAVCWYBDSMZJGLNTOQXE	ASZDEVPGJHTFXLYQIKUNOCWBRM	UILEAZQMPDSVBCFOGNKRXWJHTY	ECYNKFIOHUGSWLDMPJXQTRZVBA	WJOSYNEDVPLUCKRGFAQHMTIXBZ	KOIGBHTPXMJSNRFEDLZWAYVQCU	GLTDVFXHNZCMIOQKARYUWBEPSJ	XIUGYAZHNVKRTSDLPEFOBMWQCJ	FVNCHAGOXRMIYBWUKESDZTLPJQ	QUREMLWJAVZYKGFCPNBTODISHX	QCMLSZHVBDURYJKNPOAITFGXWE	XMCRZNAHSUPLQIBKWDVEGJOYFT	FKOCJMASLTBWUEHXYRPQIGVDZN	MTDYBXPIVKWCLUZRGHSAFJNQOE	GFZRAILVOTXUCJQKDEYHBNWSMP	CZHQMKSXBIYEWGNRTAUPVJODLF	0
main	18 	Alex 	 oneCued 	 0.0 	 right 	 354.294620772 	W 	W 	1.0 	8 	0 	0.0 	PDZRFHITEOJMAGBLXQUWCNKYVS	PBCGLJOUNHKZMWYTQVERAFIDXS	VGCTMBEPNDAQKIHFYRUZWJSLOX	SJDGNFYOAUXCKVLIZRQHEMPWTB	QLAIUWYHVPMSBCTFOGRENJKDXZ	YPARCTBMOSNIXGJVLUQKDWFHZE	GHPKVOATXIZYQEBNDFSMWUCRJL	OJKVGPYCDXWHMTQUSBZLIRENAF	ZHNYBCMTWXUQFJAPDVLKOSIREG	OQMSGWHCFBITXJANUVERKLDPZY	TZBWHNOIAPXGUCKRMFQDSYVELJ	ZGMTPWRBAHXVKULCEDISFJQONY	DXSYFNIQUROPLVCAKHZJBWMGET	TWJXNKMHDPSZYCUBVOGQLAREFI	TMOYSAKRNGEZUVDLPQJCFHWIBX	MCNZDIAXPVWHFGJSELBQOURTKY	POSGXZKCRWENAFVIYQTJDMUBLH	DAJUOBXKTVZLYFWQCMRNPHIESG	PEVHSNAUYIGMQRLTOZXBWCKDFJ	XWUESZPRHCDAYVMTKIBOJNQLGF	UFEKTJOXBGMWSHCLPIRVNQDYAZ	0
main	19 	Alex 	 oneCued 	 0.0 	 right 	 168.857683009 	R 	T 	0.0 	11 	0 	3.0 	FMKZVHYPSIALNBRCOTJXDWQGUE	OJSFXELWUVGRNAMTZYKCQHPBDI	GEZDTLHPIXQOMYWNJAVUSFRCKB	TJLVPREFYHQNWOIBMGSZCDKXAU	HVYXZQDWAONEMSPBFIGLTUCKJR	ZJMSHCTGBPOVAXWEKUDIFRLNYQ	WFKVGZJTLCRHOBQXDSYAPNMEIU	WCRABPUZQYEJFTSMXILGDKHOVN	DTIACRFYBEMJUXWPOHZLQNSGVK	LWEJBZHTUSPROAQNKIXMDYGFVC	VDFKYAGSOECTUBIWNQPHXJLMRZ	NMOVPWDXSTAKRJCQEHZLFGUIBY	RBSDVZOJKGQHLTPCEUMAIWXNYF	IHPJQAFTNMEGUXYCVSWBORZKLD	AUMDEHOKTZBIQCJXRVGYSPNWLF	XMLNCISYPFKVEZDAWHBORUQGTJ	PYGLDMSBZRTVEOUJCNAWIFHKXQ	OUMHRWIQKYSFLEVZADXJGTNPBC	KFMIVWGHZNLPUDYCXAJTBROQSE	DKISFAOQVETLYBRWZXJNUGPCHM	FUWHKSANJTOPVIYBGCXQRZEMDL	0
main	20 	Alex 	 oneCued 	 0.0 	 right 	 49.6516792756 	G 	P 	0.0 	12 	0 	4.0 	MUYRBCKFVZLIXNDJGTEQWSHAOP	KADYSPHLWBNMZXUFOGQTCREJVI	GWHRLOFIESNQCKAJTUVDYMXPBZ	TVHNLFQXOUZCJDBAKGIEWSPYMR	IOGPVCKDXUQMZEHTSJFYNBWRAL	DYLSQRXWZNPMECOVGIFJTUBKHA	OHRBAPQVXZTSDLGMUJFCKINYWE	DQZVGLNFRHCYOATPBIXJMWUESK	ZMGRTSKCPVXDUHBYLQNAEFJWIO	NQWOYTXUERSZMPLDGAFJCIBHVK	AZHLINJWTFBOPSRMCDXKVEQGUY	PUQXMTAEYZFKVICOLNRBGDJHWS	LSMENWJPYBKGTRHDCQUXIVFZOA	GQYLDANJPKTISHVCMORUBXEFWZ	TRLBSAFXYJOGQZNIHKDWUCVEMP	WDOPLAMVFBYEKNXSQRGTIJZCUH	NVHCSOFGKAZRYBELJTMWDIQUPX	IQAWYLESCHKOVGXBFJPTRDNZUM	XPMSTILDVFNUBWHGEZOJCYQKAR	ESRDGYFLZXKWQVIAONPHJUCTBM	VXFESMIZNKUBTWAOGQHDYRLPCJ	0
