"exp"	"condition"	"error"	"ID"	"targetSP"	"fixationReject"	"button"
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	6	TRUE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	9	TRUE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	3	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	7	TRUE	0
""	"eightStreams"	0	"AB14"	10	TRUE	0
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	-4	"AB14"	7	TRUE	0
""	"eightStreams"	1	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	-9	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	4	"AB14"	10	FALSE	0
""	"eightStreams"	1	"AB14"	7	TRUE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	1	"AB14"	8	TRUE	0
""	"eightStreams"	1	"AB14"	9	TRUE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	-1	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	-7	"AB14"	7	FALSE	0
""	"eightStreams"	-1	"AB14"	10	FALSE	0
""	"eightStreams"	-4	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	9	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	-7	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	-3	"AB14"	9	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	8	FALSE	0
""	"eightStreams"	9	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	1	"AB14"	6	TRUE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	1	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	1	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	6	TRUE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	9	TRUE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	10	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	9	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	1	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	7	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	9	FALSE	0
""	"eightStreams"	9	"AB14"	7	FALSE	0
""	"eightStreams"	1	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	10	TRUE	0
""	"eightStreams"	13	"AB14"	9	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	6	FALSE	0
""	"eightStreams"	17	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	0	"AB14"	6	FALSE	0
""	"eightStreams"	0	"AB14"	8	FALSE	0
""	"eightStreams"	1	"AB14"	10	FALSE	0
""	"twoStreams"	1	"BN12"	9	TRUE	0
""	"twoStreams"	14	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	9	FALSE	0
""	"twoStreams"	3	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	2	"BN12"	9	FALSE	0
""	"twoStreams"	3	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	-2	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	-3	"BN12"	6	TRUE	0
""	"twoStreams"	11	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	13	"BN12"	8	FALSE	0
""	"twoStreams"	13	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	2	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	14	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	-4	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	12	"BN12"	7	FALSE	0
""	"twoStreams"	-1	"BN12"	10	FALSE	0
""	"twoStreams"	-4	"BN12"	8	FALSE	0
""	"twoStreams"	11	"BN12"	10	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	11	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	10	TRUE	0
""	"twoStreams"	8	"BN12"	10	FALSE	0
""	"twoStreams"	-3	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	2	"BN12"	7	FALSE	0
""	"twoStreams"	-5	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	0	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	2	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	8	FALSE	0
""	"twoStreams"	2	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	2	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	-5	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	3	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	7	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	9	FALSE	0
""	"twoStreams"	2	"BN12"	7	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	0	"BN12"	6	TRUE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	7	FALSE	0
""	"twoStreams"	0	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	9	TRUE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	-5	"BN12"	6	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	-1	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	9	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	0	"BN12"	7	FALSE	0
""	"twoStreams"	-3	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	1	"BN12"	6	TRUE	0
""	"twoStreams"	1	"BN12"	6	TRUE	0
""	"twoStreams"	0	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	8	FALSE	0
""	"twoStreams"	1	"BN12"	10	FALSE	0
""	"twoStreams"	-4	"BN12"	7	FALSE	0
""	"twoStreams"	1	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	6	FALSE	0
""	"twoStreams"	0	"BN12"	9	FALSE	0
""	"twoStreams"	0	"BN12"	7	FALSE	0
""	"twoStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	11	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	10	TRUE	0
""	"eightStreams"	17	"BN12"	6	TRUE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	-2	"BN12"	10	FALSE	0
""	"eightStreams"	0	"BN12"	8	TRUE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	-4	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	9	TRUE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	-2	"BN12"	7	FALSE	0
""	"eightStreams"	5	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	7	TRUE	0
""	"eightStreams"	0	"BN12"	8	TRUE	0
""	"eightStreams"	-4	"BN12"	6	TRUE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	8	TRUE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	6	TRUE	0
""	"eightStreams"	0	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	6	TRUE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	2	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	1	"BN12"	7	TRUE	0
""	"eightStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	10	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	10	TRUE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	15	"BN12"	7	FALSE	0
""	"eightStreams"	8	"BN12"	10	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	3	"BN12"	10	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	2	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	2	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	5	"BN12"	6	FALSE	0
""	"eightStreams"	2	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	0	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	2	"BN12"	6	TRUE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	8	FALSE	0
""	"eightStreams"	2	"BN12"	6	FALSE	0
""	"eightStreams"	-3	"BN12"	10	FALSE	0
""	"eightStreams"	2	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	6	FALSE	0
""	"eightStreams"	2	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	6	FALSE	0
""	"eightStreams"	3	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	6	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	-5	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	6	FALSE	0
""	"eightStreams"	1	"BN12"	6	FALSE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	-1	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	2	"BN12"	6	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	0	"BN12"	9	FALSE	0
""	"eightStreams"	1	"BN12"	10	FALSE	0
""	"eightStreams"	-4	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	8	FALSE	0
""	"eightStreams"	1	"BN12"	7	FALSE	0
""	"eightStreams"	0	"BN12"	7	FALSE	0
""	"eightStreams"	1	"BN12"	9	FALSE	0
""	"eightStreams"	3	"BN12"	9	FALSE	0
""	"eightStreams"	0	"BN12"	10	FALSE	0
""	"eightStreams"	0	"BN12"	8	FALSE	0
""	"twoStreams"	-8	"EF6"	8	FALSE	0
""	"twoStreams"	6	"EF6"	7	FALSE	0
""	"twoStreams"	2	"EF6"	9	FALSE	0
""	"twoStreams"	3	"EF6"	7	FALSE	0
""	"twoStreams"	11	"EF6"	9	FALSE	0
""	"twoStreams"	-5	"EF6"	8	FALSE	0
""	"twoStreams"	7	"EF6"	9	FALSE	0
""	"twoStreams"	3	"EF6"	9	FALSE	0
""	"twoStreams"	1	"EF6"	10	FALSE	0
""	"twoStreams"	12	"EF6"	10	FALSE	0
""	"twoStreams"	1	"EF6"	7	FALSE	0
""	"twoStreams"	4	"EF6"	7	FALSE	0
""	"twoStreams"	8	"EF6"	10	FALSE	0
""	"twoStreams"	6	"EF6"	9	FALSE	0
""	"twoStreams"	-5	"EF6"	6	FALSE	0
""	"twoStreams"	4	"EF6"	7	FALSE	0
""	"twoStreams"	-3	"EF6"	8	FALSE	0
""	"twoStreams"	6	"EF6"	10	FALSE	0
""	"twoStreams"	12	"EF6"	8	FALSE	0
""	"twoStreams"	-4	"EF6"	10	FALSE	0
""	"twoStreams"	3	"EF6"	9	FALSE	0
""	"twoStreams"	3	"EF6"	6	FALSE	0
""	"twoStreams"	8	"EF6"	8	FALSE	0
""	"twoStreams"	2	"EF6"	6	FALSE	0
""	"twoStreams"	5	"EF6"	7	FALSE	0
""	"twoStreams"	3	"EF6"	10	FALSE	0
""	"twoStreams"	2	"EF6"	8	TRUE	0
""	"twoStreams"	5	"EF6"	8	FALSE	0
""	"twoStreams"	6	"EF6"	6	FALSE	0
""	"twoStreams"	16	"EF6"	7	FALSE	0
""	"twoStreams"	8	"EF6"	10	FALSE	0
""	"twoStreams"	3	"EF6"	9	FALSE	0
""	"twoStreams"	1	"EF6"	6	FALSE	0
