"","experimentPhase","trialnum","subject","task","noisePercent","targetLeftRightIfOne","resp0","answer0","correct0","whichStream0","whichRespCue0","responsePosRelative0","streamLtrSequence0","streamLtrSequence1","streamLtrSequence2","streamLtrSequence3","streamLtrSequence4","streamLtrSequence5","timingBlips","correctPos","responsePos","condition"
"11","main",30,"AH "," oneCued ",0," right ","U ","V ",0,3,0,9,"MJKPBXFWZUVARLONGSYDIQHCET","DGOWLTIKVFYCENXMRPBHJZQUSA","XAMTYQCFHVWINZUEDSGPBOLRJK","ZEFDLRYXVIMTJHGPAUCBSQKWNO","SKHEVQPFBZJNYTAGMOIXLURCWD","ISMAQTVROXDCFUEBWZGHPKNLYJ",0,8,17,"Endogenous"
"12","main",31,"AH "," oneCued ",0," left ","E ","D ",0,4,0,4,"CTURJQFLOIXPYHZMKGANVSEWBD","YNZFQECVURTWKDIMJBHPAXLGSO","BRZYHWAKINFQPLTMOEXSJVDCUG","LMOQRSHIPWUJKCFXANZVTDYEBG","XYPNTBKDRMHEILAQCZOUJWSGVF","GSPNFAXOUQHDVETLJYRMCIZWBK",0,7,11,"Endogenous"
"13","main",32,"AH "," oneCued ",0," right ","N ","D ",0,5,0,6,"XDJPWZGNQRBUMTFOILAYHSEVCK","ZQHUGSTLVMDNOBEIJWPKXFARYC","YWVQBRLHTOUJACNEMPSFZXIKGD","ZAHGNODRIYVKULBCMQTFWEXPJS","SVWOCXEHRTYFJDBIQNZLAPGMKU","MQTBGYDFVXPINAHULEJCSWZROK",0,6,12,"Endogenous"
"14","main",33,"AH "," oneCued ",0," left ","E ","W ",0,1,0,7,"WNYBIEVXDKLQUPZFOSJRHMACGT","DPZCKJTAMQWNLFOHGEVSYRUBXI","HPZYKGWELNICJDSXUVAFMBROQT","LOJBUQAPHFVIWDENZYXTCGSMKR","UFIAWPGKHTBODRECQSNJVYZMLX","NWOZEYUGPAQFIHRCVKLBSDXJMT",0,10,17,"Endogenous"
"15","main",34,"AH "," oneCued ",0," right ","V ","T ",0,4,0,6,"HDNQOAFILWXCYGPTMSBVUKJZER","JYRLNZFATBGUHVSWMDIXKQCPOE","RHIQCOXVGMPDJLYEWFNUZSTBAK","OZXJSBVMRFGWIUEPADHNLQCKYT","XUBONEPYIFTJSDQZVLAGCHWMRK","IYXCAWELRHQKOTGJMPSVFUZDNB",0,10,16,"Endogenous"
"16","main",35,"AH "," oneCued ",0," left ","R ","T ",0,1,0,4,"TLRIYVCQUZAWHMXDBNKGESFOPJ","CJEYOLQVBHTMDFRZAGKWUNXPIS","ZGMWRLCPYKAFQJEHDNTXIOUBVS","AZWQCTMILFKNRGUVYXHPBJSDEO","HBEJUFXORVKNPCSIZDGMAYLWQT","JUMKWVDSITCXLHYEGQNOZBARPF",0,10,14,"Endogenous"
"17","main",36,"AH "," oneCued ",0," left ","C ","B ",0,5,0,4,"EXFLNWJKUMBIPDTSVHRZCOQYAG","AVWHXJLKCERIOTMDYZUFQSGBPN","IBQDRFZUVEGACJHPWXMSNTYKOL","STPMOXEJILBCDYZHKVANGWFURQ","NECWPDZHRQOBLAGFMXVSYIUTJK","JLGSAMOXDBEWRCNFVKQHIZTUPY",0,9,13,"Endogenous"
"18","main",37,"AH "," oneCued ",0," left ","W ","C ",0,0,0,4,"LRMTZGVNFCSXQWIKYJAPHDBEUO","YSDHECKVXFMRBOPUNALTZJQGIW","CNDJQUTYKZXGAIEMBFOVSHWPRL","TEAHVKQUZIODLSGWXRMFPYNCBJ","YNERVWXKILJQHAZDFGMBPSCOTU","OJKXMRDLFEBWIVSTPHYZNQAUCG",0,9,13,"Endogenous"
"19","main",38,"AH "," oneCued ",0," right ","Q ","Z ",0,1,0,2,"RBMEOVFLDYHAPXNIJTWZCUSQKG","GIJXMNCADSZBQRFPKOHLYWVETU","PDMVSTJNQGCYLRUZXEKBHFOWIA","KEAWTPCUZHMSLJGXDIRQNBOFYV","VWSBAJFEIDPYGUCRQLTKMONXZH","ECXQTSPIRVNHODLYGKWBAZFMJU",0,10,12,"Endogenous"
"20","main",39,"AH "," oneCued ",0," left ","E ","P ",0,5,0,3,"LFBOVYSKQEUHGINZTRPXDMAWJC","OXSPREYBHUIJAKWGMZQLVDNFTC","AHLNXJCYODRBMWGVZTIUQFSEKP","YBLROWZICVQPGDMAXUJFKSHTNE","ZUHMAKYVTJQRDFSLNPXOIBWEGC","FOACBSPWKELNUYQTDMVIZHJXGR",0,6,9,"Endogenous"
"21","main",40,"AH "," oneCued ",0," right ","T ","R ",0,5,0,4,"KFBTGEJHMSCNDZPVRWXQULOAYI","UMSRXDLFANKETPIOGJQCWVHBYZ","PEVTRYCKZIGWHUFJMXBLONAQDS","MENYHCKOLTXFZPDRQGJABVWIUS","NCKTPSOWMJUZGVDQLAIHEXFBYR","VAJMPGCLYRWBITQSKOXDEHFZUN",0,9,13,"Endogenous"
"22","main",41,"AH "," oneCued ",0," right ","Z ","N ",0,4,0,2,"BSGFCHORNQYKVWIDTAMJPZXULE","EJMBSQIUPAGYXDRNFZLWTHOCKV","FLVGSZQJCUEYTNMDIWPOHBRXKA","VHNUCEKPFRZDWTMQGYBXLJSIOA","GSLBRKVXWNEZYDTMIHJCAUPQOF","FRHPCSWAXTZUKDNQMIBJLEOYGV",0,9,11,"Endogenous"
"23","main",42,"AH "," oneCued ",0," left ","E ","X ",0,4,0,1,"ECAJBPRQWLOUFXVNHSZGIMDTKY","QOHTJZFVPRUCBNDELIXAYSWGKM","LOMFDQYHAPKJNZSETGCRUVWIXB","PIOEBGLTXJACKHQZNUYSVMWRFD","VSWUMFYLIXEAGCRKPJNOQBHTZD","IWDTNRGQKZXVUCYFPOSEAJMLHB",0,9,10,"Endogenous"
"24","main",43,"AH "," oneCued ",0," left ","Y ","A ",0,5,0,2,"KFUTERLZMYAOCVQSDBWGHJXIPN","VSBAFQYLXNDRPZCGWUMHJOKETI","NBLWQMDPGYTSRACEIHVUXJZOFK","ZRDEUXKAJOVNSFCGTQBMIPLHWY","EABVJWXYNZSGFCPQODUHTMKILR","GFVUONDQAHYWMKRTEPSJCIXBZL",0,8,10,"Endogenous"
"25","main",44,"AH "," oneCued ",0," left ","K ","P ",0,0,0,10,"SLCGEZVABPMJHYURTFWKQXIODN","RNDSMCTAUZVBPFKIGQWYXLHOJE","FTDAVPLGQZOBYNESWCIRHUJMXK","PFKBAISNMJZHXCQTRGEWDLYOUV","ILKUBWFHQJDAZNXSRCEPYGTOMV","AFQJYCEZIRVTKLSBUNDOHGPXWM",0,9,19,"Endogenous"
"26","main",45,"AH "," oneCued ",0," right ","N ","E ",0,5,0,-3,"KTFZXMYWILJDPQSAVCUREGHOBN","VHXNRWZQYOSPIDGAUJCEFLBKTM","UKFOGYNBMVWTJPQERXLHDAZISC","KONLDJRUEGVMSCFWTBQXYAZHPI","SAENDIPOVKUWYBXFZTLHCMGJRQ","BMRUAHYNJSEQKWIFZOVPCLGTDX",0,10,7,"Endogenous"
"27","main",46,"AH "," oneCued ",0," right ","Y ","I ",0,1,0,5,"KLJVNOWQHZBTMASIDGEPRUCYFX","BZEGNRIKOJPYVXLSWUTQDHCAFM","IALSRBYKWCVZTJGFEDPQMHUNXO","SMDYUILZWGXRTVCBOJFNQPAHEK","PVIOTCULKFYJDWQZMNRAEGHBXS","FUHXGLKNOASRWCQMYJDVEBITPZ",0,6,11,"Endogenous"
"28","main",47,"AH "," oneCued ",0," right ","N ","S ",0,3,0,10,"LTDKPNZVJOQUSXCRABWMEHFYGI","VJFUIXWGNTZYEDMRQCKBLHOPSA","ZNEATQBDMPCVHXLIOFSWJGURYK","WTULFOSBHIAPEGDVNRKYZXQMCJ","RKTGQWENLISHBMCAOPVJUYXFDZ","IVYGPXWFQSHJRANDBTKMECOZUL",0,6,16,"Endogenous"
"29","main",48,"AH "," oneCued ",0," right ","E ","Z ",0,2,0,2,"GKZJRBIWXNAYFCLHMQTPUDSVOE","EFIGAQTNHLJKYPZMDBCURVSOXW","HPLTDYGZJEXVFSOUIKQWCMRNAB","LJOEACUFYNIVWSMGHPXRKBDQZT","VCLIGPTMJWKAQDBXHFEUOZYNSR","PGOVEAUHKWDNFMQBCZRSIYTJLX",0,7,9,"Endogenous"
"30","main",49,"AH "," oneCued ",0," right ","D ","I ",0,4,0,4,"DOJWVTZNKYQELCGMRFXUBPHIAS","TAFXZKIQLGBUPSJVCHRWMODEYN","UHCBFIDVTSZJNLMWAYQPERXKOG","JYZXMSTHGWIOULVDCBQFPEARNK","JPYFVAXIMUNDHOKLBWRZQCSTGE","DVLQAMICOKEFRUPGNSTXYWBJHZ",0,7,11,"Endogenous"
"31","main",50,"AH "," oneCued ",0," right ","H ","K ",0,3,0,5,"YWNOJXSHMLFUKECZTDVBRGQPAI","AVLKFUDMPSXQTERNCHZWYOBGIJ","ZAQTXOENVRFGJYWDMPSUCHKBIL","TANEVIBOKULZXHCSJYRWMPFGQD","QPLMECFWYKVBDGUJAHIOXSTZNR","WAZNGLCFYXHIUDKTOPMBVSQJRE",0,8,13,"Endogenous"
"32","main",51,"AH "," oneCued ",0," right ","S ","J ",0,3,0,8,"WTOUHXVGEPKBNIMALRZCDYJQSF","ANQCIUJYXBHGRPSVODEFWMZTKL","ADYCBQUIWNPRXEZTVLOGJSMFHK","KANZRBVGJLUHYEMXSFITWDCOPQ","OMBWDQNJKUEIRSVTHGPZAYLCXF","IQJGCKOEPBUASWHVYRNZMTFLDX",0,8,16,"Endogenous"
"33","main",52,"AH "," oneCued ",0," right ","W ","Y ",0,0,0,-3,"SDFLXQBWMKYHOEPTUZIJGVCANR","JRKOUEPVSXIDANBHZWYCGTQLMF","LBZPQNCMFAJVUDETSYGXHIKROW","HJYTKBACSGLVNXDREMFUQZOWIP","VGBDPLMXAUJNEYOTHZIRSWQFCK","GEJSFWAVLQCRUHZTOMKIDPBNYX",0,10,7,"Endogenous"
"34","main",53,"AH "," oneCued ",0," left ","V ","F ",0,1,0,-4,"ZGJUPRCKDMEXFIQVBTNHWOSLAY","PTLJSWVINMFHGUYZQKOAERXBDC","KUWGSRTHCZIENJPLBOMXAQFDVY","QYGJNKWBUZVMCSFPEOTDHIRXLA","MRUOCYGFNPWZXHAJEVTDLBQSKI","OAVKTWZPLDIERJNSUMGCXYBQFH",0,10,6,"Endogenous"
"35","main",54,"AH "," oneCued ",0," left ","W ","X ",0,5,0,4,"RBJMZQWOGIHSLYDEFXUCTAPVNK","TEZUBHFGKDSYAJNROVCIQPWMLX","YOHMWRFBPVKZDLNAECGXQUIJTS","PAESNTMFGQJVIROWUCYXBDLKHZ","KRMJSTCLZUINHEXGDPYFAQBVOW","NMUERKFXOJPWBQDSGVLZHYATCI",0,7,11,"Endogenous"
"36","main",55,"AH "," oneCued ",0," left ","K ","O ",0,0,0,3,"XPWFDTBMOUNKEQLGZYHRSVCIJA","UWMGEIZJSXOFRNDKQHTCPVALYB","EVGZACIRLUHTSJMOFDXYNPQBKW","LEYSBVOZQURJGNFTACPIMXDWHK","JAXVGWKCNZPHMFSBUEOQDRLTIY","NQYRTLJGDMIOKZBVSWUCHPEAXF",0,8,11,"Endogenous"
"37","main",56,"AH "," oneCued ",0," left ","U ","L ",0,2,0,1,"MEYCBZPAHGTWVKDSLJNXRIOFUQ","KWBFCLJREZVUAYMGIHXQNOSTPD","ASKFQXLUDNBVZWGIMHYETCJORP","MGOKJUREQVWDZIYPLTBFCSXHAN","ESXGPDCKVQHNLWITOUBFAMYRJZ","GXSTWIYOUAJDCKRZHQLVMEBNPF",0,6,7,"Endogenous"
"38","main",57,"AH "," oneCued ",0," left ","E ","L ",0,3,0,7,"TJGHORFEZKSQIYBNCDAMWLPVXU","JAEBURYDNKOMXVTZSPWLFQIGCH","VEIYSPJNDQHCUMZFTKWOLAGBRX","MJKWRTGLIFQPDVENAYUCOSHZBX","MYLPOJUXSQEHWNBAKVCRIGZDTF","SFTUMIHEXVJOBLQZPGYRCKDWAN",0,7,14,"Endogenous"
"39","main",58,"AH "," oneCued ",0," left ","U ","H ",0,2,0,7,"URPCIJMOZKVXLTDHNABSYEQGFW","ZVWRQSNJBKAYLFPMEXUCOGTDHI","FXBSPYHOEILQZUVNAMDGRKCWTJ","CLETZVSIYGKJNUBFAOHWPQDMXR","FCMYIGBZRQHAPLNEDVUSOXKJTW","STVMALEBNFXDCIPHRUOZQYKWGJ",0,6,13,"Endogenous"
"40","main",59,"AH "," oneCued ",0," left ","S ","X ",0,2,0,5,"OAFLWBCHQVXPRMNTDYUJKEGZIS","WUQFDVYOLSRPCXITBZHEMKAJGN","RKAYEQJBDTXOWNISGUCFPHMLVZ","EJGWLZMTCHFYQORXBSKNPIAVDU","DCYXOQLWTKZEJNGMRFSPAIBUVH","SLJRHMWVTCFDOUAGKEQYXNPIBZ",0,10,15,"Endogenous"
"41","main",60,"AH "," oneCued ",0," right ","W ","I ",0,4,0,6,"HZTNUGXQFESCBMVJDYLWKRPOIA","XSZWUHENKMGIVPFTRJAYCQBDLO","OYJGKMRCUDHSLQAXTNIBVPFEWZ","RFSZQUICHAWJMYTOBKPLGDNEXV","ZTFROJPGDXIAKUHSWYCQEBLMVN","ITKMNRVUXYWPBQFDGHSJOLEZAC",0,10,16,"Endogenous"
"42","main",61,"AH "," oneCued ",0," right ","O ","A ",0,5,0,3,"AEDBXWRZQMLTYVISPHUGKNOCFJ","ZDABCMEUWPKFQGTLXONSIHVYRJ","ZPBJTUSMYQNICDVOEHFRXGKLWA","SUHWYKJVMLORCIZAGDBQXENTFP","RKLOTWQJBNEHUZPCXFVMYDSIAG","VFGPSUIRNJAMEOCBXLYWTKQZDH",0,10,13,"Endogenous"
"43","main",62,"AH "," oneCued ",0," left ","K ","T ",0,4,0,6,"NBTZCVPEJSODULQGRYAFIWMXHK","AQULDISKJNYFZXEMCPTGHWRVBO","PDIMEWOKHRFNLZGJCBYSVTXUQA","LSNDGXZOVRFKEMHUCTJIWBAYPQ","JOCUQMWDXTHRIGEKNVPAYSBZFL","TVENWCMPFQJAZKSYBXLIROGUHD",0,9,15,"Endogenous"
"44","main",63,"AH "," oneCued ",0," right ","P ","G ",0,3,0,6,"ACZLDGSBWITPEXJNOFKQMVRHUY","IQSZMYJPAOLXNVCRBGHDTUFWKE","BQMHPJKYVOEGSZITFCWDXRUNLA","EFJMLDKGCZRXVPHABIYQNTSWUO","ELJQNBGVWHFZRIUYPODXSMAKTC","LMADVPIOXQJBETYWGCFUSNHKZR",0,7,13,"Endogenous"
"45","main",64,"AH "," oneCued ",0," left ","M ","D ",0,0,0,2,"OLRCTYEVDJMZFUWPSABNXQIKHG","UWETBIYMQGCPSLHFODZAXNJKVR","PGUJEFRCYAWZODVKNTQIXMLSHB","ZDJXQNHESBYMUVLCTIPGKWRAOF","PDRBJIEVYQCFKOUTHGNLZASWMX","ZDCITJOXBNPSQVWUAMFHRKYGLE",0,8,10,"Endogenous"
"46","main",65,"AH "," oneCued ",0," left ","E ","C ",0,2,0,5,"FZQEBXVJNGTRMLICDPYHAOSKUW","UJPOFRELTNVIZCXHWSGKDAMYBQ","RTWSXYULPNCAVIMEHODQFJKGBZ","KHTDZXQOJWIYNCLUREFSAGBPMV","QJONUGDKYPZHRAVIEFSXMLBTCW","VLRDTMCIGQHZYPJXWFESBOUNAK",0,10,15,"Endogenous"
"47","main",66,"AH "," oneCued ",0," right ","D ","Y ",0,3,0,3,"VQWLEFBJZNTOHMPAUSGIKYXCRD","TAJZYIVBSGOMNKFDXUELQCHRWP","VWKEYQCDNLOBIJMZFUPASHTXGR","VZXENOIYFCDTRSKWBPLJUGAQMH","QKHYLIUMSACGNVXOEWDJFZPBTR","BVSIHUGJWMDRXKCFEOPTQALYZN",0,7,10,"Endogenous"
"48","main",67,"AH "," oneCued ",0," left ","J ","N ",0,3,0,7,"NIHZQDLEKXJGATYRFVSPCOWMUB","NZJKPGVTODHUMSELWBIYCAQRFX","BTIKPEHUYNRVJZDWMGCLAFQSOX","CXOEZYDBNKMFLHGJUTARSVQIWP","GNYISDLQOMJCZXUVEBPFHATKWR","JIPTLRYQDUFBZXKNECMSAGWOVH",0,8,15,"Endogenous"
"49","main",68,"AH "," oneCued ",0," right ","S ","J ",0,0,0,2,"DAXOBPFERJUSCHZMTNIGYVWLQK","MZFYDNCAEJHUVBSXWKLIGOQRPT","VCBJONWUSZTFKAPGMXEQYRLIHD","YFBMDSLJOVPUACZRIEWHTKNGQX","GJYHKZWSLBDECQXNMUAPRFTOVI","KRLHXOWCVASIDTNFQZMBEJUPYG",0,9,11,"Endogenous"
"50","main",69,"AH "," oneCued ",0," right ","C ","O ",0,2,0,6,"UKOEQBVZDAXMGLCSRYWHPINTJF","XGQIHOMYNEZRABTPLFDJSCUVWK","NGKWXMOPETFDCJIHZVAUBSRYLQ","RJNZKWDBUSXLYCGTQEPAMVFOIH","ORPEJSFAHVTYLIDGBKXZQMUCNW","UCQVTEYBLIXPGNJMHZROWAFKSD",1,6,12,"Endogenous"
"51","main",70,"AH "," oneCued ",0," left ","K ","W ",0,2,0,9,"YHOKJPFXACMEUDNVWBTILSQGRZ","QALHPDIBRWMCOEVYFJGUXZTKNS","BDYZUCTHQWIEPXNLRSKMFJGVAO","OBNPRCMVQLDXSGATYFUJEIWKZH","PGEJTXOZKQSRBHDYFALUWNVMCI","MKYEXSIZTGRVJQCDBWPLHUANFO",0,9,18,"Endogenous"
"52","main",71,"AH "," oneCued ",0," left ","K ","H ",0,4,0,14,"VEKWRGBXSJFZINDLQYAHTPMOUC","UGLTIEKVFQWSACRJPHDZYNOXMB","ADTKONIHPJBQLGUYCEXVWFMSZR","DZXCHUIRBOWPMGNFYEJSTVLAQK","SPANIEHLMYGTDBQJZRFOKUCVXW","ASWIZDVUQYXLJOPGFCMHKNTBRE",0,6,20,"Endogenous"
"53","main",72,"AH "," oneCued ",0," left ","Z ","D ",0,3,0,-1,"KDJXOEHIUGLBACWZFQRVTMNYSP","URASKNXJWCTFEGHMIVPDLBQZOY","GOYBTFRQKLSIPUHVXDZNMEAWCJ","LWFEAPZDNJGTRSIXCHQKOVMBUY","SDKWTMEQLJZUXVNAIOFYBGPRHC","CQAUKMWGHPEYXVFNDRSILBJOZT",0,7,6,"Endogenous"
"54","main",73,"AH "," oneCued ",0," left ","W ","C ",0,1,0,5,"FROKXEGPHQZSNIMAYCDTBJWULV","KBQMXRICTONSWGJELYHVAFPUZD","ZXFVMDKUSOHLTJQWINGCPYBAER","TLKIPAHBZCEUFQWOXSDGRMJYVN","ABDRKWPOCUTVZILHYXNJSEQMGF","LINCMEVXWQTOFGUYKZBSHRDJAP",0,7,12,"Endogenous"
"55","main",74,"AH "," oneCued ",0," left ","W ","V ",0,1,0,4,"AJCQOIDYBGWMKTUVXRZNEHSFPL","AXQKYSVJODWMFZCIHBTRNLPUEG","JULIFAORCPXSHGVBMEQZYNWTKD","NCXTAHVIFMKDYGWEPSQBLJOUZR","VCFEZMQGNBAJSDXOHYKRTIPUWL","OJZWENKPMCTDRGXQUIHABYLFVS",0,6,10,"Endogenous"
"56","main",75,"AH "," oneCued ",0," right ","B ","U ",0,1,0,5,"MUCHFOBAWSPNIKXJDYVLEGTZRQ","ZLHKOFSMUVICTBGPQYXNJDEWRA","GCQFWHEMNSLUXOYPDJRAVZIBTK","VMBQIFXEORSHCUYJKGTDPWALZN","GUNLCEVRSOZWMYIKADFXBQHJPT","LNBZTGSDXQHMAKIUEJROVPCYFW",0,8,13,"Endogenous"
"57","main",76,"AH "," oneCued ",0," right ","N ","K ",0,4,0,5,"NEVYGPWXSCUMABZJHILQFORDTK","UAWBLRHMDPVYKJIFTESXCQGZNO","GMXNSDPZEFJCQOUVLRAWYITHKB","ZBHRPTQNMILXUAGFVOEJYDCSWK","DWOBYELGKFJMQNRXUTCPSVIAHZ","ACYXWBHUOKDRIGPVZESQNMJFLT",0,8,13,"Endogenous"
"58","main",77,"AH "," oneCued ",0," right ","S ","B ",0,3,0,11,"RYNJEBQVPHCLGXOTUZKISDWFMA","CLWPAJQNXVURFOESZGBYMKTDIH","AJUPXNWDFGSBCYORLZMQKIHETV","AOIMHWEVNBPFULYJCDXTSQKRGZ","RAYUIHXJPOZKFNLDCSQEVGWBTM","WKRLQDXBYHGMAINTSUZECPFJOV",0,9,20,"Endogenous"
"59","main",78,"AH "," oneCued ",0," right ","W ","E ",0,3,0,5,"TNSGVCZAYMBOPQXHWFLERKUDIJ","VRBHTUGYZMIAWPOKFJNDEQXCLS","YEDQAPNRTVFJMGWKSCZXIHUOLB","MQKPXUEGVBJWOATHLZYIFSDRNC","RISTQGXKMVAHPDUOLEWZJNCYBF","ATMFWNZULEICVYDGKPBQXOHSJR",0,6,11,"Endogenous"
"60","main",79,"AH "," oneCued ",0," left ","B ","K ",0,1,0,3,"LBIAODCMSQGFKRHTZPYNUVJWXE","NRLJZGOYFVKCSBHUDXAWPTMEQI","LAYRBECVSFNKMZUJOWQHXIDGPT","FWXBCIAHUGJNKSOYPTQVERMLDZ","YOKMPDRTUEQLNWBZCXHVISAJGF","OGTPJKZYXAMRFCUVLIQNHSWEDB",0,10,13,"Endogenous"
"61","main",80,"AH "," oneCued ",0," left ","X ","Y ",0,1,0,6,"SNVFYHJQDEWMUKBPIGZAROXCTL","CGSTPHYLMZAVXFORQWJUDEIBNK","MAUSONBLGCPXIZQHRWEJYDFVKT","LRSGXNKZYBAMUJWITVFPHCOQED","UDQIYWNTJZFESMBPRXGLKACOVH","BMXRNOEUIFHLYDTGVASWJZQCKP",0,6,12,"Endogenous"
"62","main",81,"AH "," oneCued ",0," left ","W ","P ",0,4,0,6,"XFDWATPNCGEJILHZBKSMRVOQUY","UHFDPRVSCYBIELZXAMWOKQTGJN","QYUJNGBPVKZOIDCTXMEFHWRALS","FBYORJDAEGPLMWTNKXIQCUSHZV","DQAJYVKPGCMETWINHUBZSRFOLX","CPREAOJGMXHLTDSBZIKVYWFNQU",0,7,13,"Endogenous"
"63","main",82,"AH "," oneCued ",0," right ","G ","I ",0,5,0,-5,"YNMPTBIWAFLKQJCOGEXZSUHDRV","SLTJDHGEFQACOXWVBKUMNYIRPZ","ZITVJYXUMBCGERAQSPKWNHDFOL","WUHYNDJORSXICAQEGPZTVMBKFL","XCATZUEJGRMDHNPOQKFIWVYBSL","SHGQXBVIZCENPMJOATKYWFLRUD",0,7,2,"Endogenous"
"64","main",83,"AH "," oneCued ",0," left ","N ","H ",0,4,0,3,"NPVJRDWAHGXQZFKIBMCYEOSULT","VBHTSYPLMFCOQENAIJZGWXURDK","AVMXYBEPUKRLHGIJFDWNZCOQTS","FPMTIENUVYWAGHKXQSZBOJLCRD","XAIUEYKVHLBNOSCPDRWTFQMGZJ","DEMORPKHJIQZSWBNTGCAFVUXLY",0,8,11,"Endogenous"
"65","main",84,"AH "," oneCued ",0," right ","E ","B ",0,3,0,5,"YVGKAHMDOULNQXCTSZIFEWPRBJ","DSCXIEUGJZHAWRBTLFVKNMPQOY","YNHKXIBWFOCUAGPMDELRTQZVJS","PDFULHMBTANXEVZCWOQSYJIKGR","VBNGWLXMUFYDJHCESQRZPKAOIT","UYRPCTKANZMJWGBFQLDXOHEVIS",0,7,12,"Endogenous"
