"","model","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate","val","pLRTest","SPE1","SPE2","SPE3","SPE4","SPE5","SPE6","SPE7","SPE8","SPE9","SPE10","SPE11","SPE12","SPE13","SPE14","SPE15","SPE16","SPE17","SPE18","SPE19","SPE20","SPE21","SPE22","SPE23","SPE24","SPE25","SPE26","SPE27","SPE28","SPE29","SPE30","SPE31","SPE32","SPE33","SPE34","SPE35","SPE36","SPE37","SPE38","SPE39","SPE40","SPE41","SPE42","SPE43","SPE44","SPE45","SPE46","SPE47","SPE48","SPE49","SPE50","SPE51","SPE52","SPE53","SPE54","SPE55","SPE56","SPE57","SPE58","SPE59","SPE60","SPE61","SPE62","SPE63","SPE64","SPE65","SPE66","SPE67","SPE68","SPE69","SPE70","SPE71","SPE72","SPE73","SPE74","SPE75","SPE76","SPE77","SPE78","SPE79","SPE80","SPE81","SPE82","SPE83","SPE84","SPE85","SPE86","SPE87","SPE88","SPE89","SPE90","SPE91","SPE92","SPE93","SPE94","SPE95","SPE96","SPE97","SPE98","SPE99","SPE100","SPE101","SPE102","SPE103","SPE104","SPE105","SPE106","SPE107","SPE108","SPE109","SPE110","SPE111","SPE112","SPE113","SPE114","SPE115","SPE116","SPE117","SPE118","SPE119","SPE120","SPE121","SPE122","SPE123","SPE124","SPE125","SPE126","SPE127","SPE128","SPE129","SPE130","SPE131","SPE132","SPE133","SPE134","SPE135","SPE136","SPE137","SPE138","SPE139","SPE140","SPE141","SPE142","SPE143","SPE144","SPE145","SPE146","SPE147","SPE148","SPE149","SPE150","SPE151","SPE152","SPE153","SPE154","SPE155","SPE156","SPE157","SPE158","SPE159","SPE160","SPE161","SPE162","SPE163","SPE164","SPE165","SPE166","SPE167","SPE168","SPE169","SPE170","SPE171","SPE172","SPE173","SPE174","SPE175","SPE176","SPE177","SPE178","SPE179","SPE180","SPE181","SPE182","SPE183","SPE184","SPE185","SPE186","SPE187","SPE188","SPE189","SPE190","SPE191","SPE192","SPE193","SPE194","SPE195","SPE196","SPE197","SPE198","SPE199","SPE200","targetSP1","targetSP2","targetSP3","targetSP4","targetSP5","targetSP6","targetSP7","targetSP8","targetSP9","targetSP10","targetSP11","targetSP12","targetSP13","targetSP14","targetSP15","targetSP16","targetSP17","targetSP18","targetSP19","targetSP20","targetSP21","targetSP22","targetSP23","targetSP24","targetSP25","targetSP26","targetSP27","targetSP28","targetSP29","targetSP30","targetSP31","targetSP32","targetSP33","targetSP34","targetSP35","targetSP36","targetSP37","targetSP38","targetSP39","targetSP40","targetSP41","targetSP42","targetSP43","targetSP44","targetSP45","targetSP46","targetSP47","targetSP48","targetSP49","targetSP50","targetSP51","targetSP52","targetSP53","targetSP54","targetSP55","targetSP56","targetSP57","targetSP58","targetSP59","targetSP60","targetSP61","targetSP62","targetSP63","targetSP64","targetSP65","targetSP66","targetSP67","targetSP68","targetSP69","targetSP70","targetSP71","targetSP72","targetSP73","targetSP74","targetSP75","targetSP76","targetSP77","targetSP78","targetSP79","targetSP80","targetSP81","targetSP82","targetSP83","targetSP84","targetSP85","targetSP86","targetSP87","targetSP88","targetSP89","targetSP90","targetSP91","targetSP92","targetSP93","targetSP94","targetSP95","targetSP96","targetSP97","targetSP98","targetSP99","targetSP100","targetSP101","targetSP102","targetSP103","targetSP104","targetSP105","targetSP106","targetSP107","targetSP108","targetSP109","targetSP110","targetSP111","targetSP112","targetSP113","targetSP114","targetSP115","targetSP116","targetSP117","targetSP118","targetSP119","targetSP120","targetSP121","targetSP122","targetSP123","targetSP124","targetSP125","targetSP126","targetSP127","targetSP128","targetSP129","targetSP130","targetSP131","targetSP132","targetSP133","targetSP134","targetSP135","targetSP136","targetSP137","targetSP138","targetSP139","targetSP140","targetSP141","targetSP142","targetSP143","targetSP144","targetSP145","targetSP146","targetSP147","targetSP148","targetSP149","targetSP150","targetSP151","targetSP152","targetSP153","targetSP154","targetSP155","targetSP156","targetSP157","targetSP158","targetSP159","targetSP160","targetSP161","targetSP162","targetSP163","targetSP164","targetSP165","targetSP166","targetSP167","targetSP168","targetSP169","targetSP170","targetSP171","targetSP172","targetSP173","targetSP174","targetSP175","targetSP176","targetSP177","targetSP178","targetSP179","targetSP180","targetSP181","targetSP182","targetSP183","targetSP184","targetSP185","targetSP186","targetSP187","targetSP188","targetSP189","targetSP190","targetSP191","targetSP192","targetSP193","targetSP194","targetSP195","targetSP196","targetSP197","targetSP198","targetSP199","targetSP200"
"167","Normal",2,0.9,0.84,11,-999,-999,-999,-999,-999,4,2,1,1,0,1,2,2,2,1,2,1,4,1,1,1,2,1,2,1,3,2,3,4,2,3,2,2,3,2,2,16,3,6,13,1,1,2,2,4,3,3,3,1,2,2,1,2,3,3,2,2,2,2,3,2,1,0,3,2,2,2,2,1,3,2,2,-3,2,2,1,2,1,-4,1,1,2,2,1,3,2,-8,4,2,4,0,1,2,0,3,3,3,3,0,3,4,2,1,2,2,2,3,2,1,1,-8,1,1,1,3,3,2,1,4,4,15,2,3,3,3,3,2,2,1,8,17,1,2,3,2,3,2,2,1,2,2,3,2,2,1,3,1,1,2,4,0,2,1,3,2,3,3,2,3,2,1,2,2,17,10,3,2,2,3,2,2,1,2,1,2,2,2,4,4,1,2,2,2,2,1,2,3,1,1,2,3,1,5,3,2,2,1,3,3,2,2,2,2,2,2,9,6,7,8,9,6,8,8,10,7,7,9,10,8,6,9,8,9,10,8,8,7,6,6,10,7,6,9,7,9,10,8,6,6,10,6,9,9,7,6,6,6,10,9,7,8,6,6,10,7,6,9,10,8,7,8,7,8,10,8,8,7,9,9,9,9,10,8,6,7,9,10,6,8,10,9,9,7,8,7,8,10,6,8,8,8,9,7,7,9,8,7,8,7,7,8,10,8,9,7,10,7,8,9,9,10,8,7,7,10,9,6,9,7,6,9,6,6,8,7,6,6,7,6,6,6,8,10,8,8,8,8,7,6,8,8,7,6,6,7,8,9,7,8,9,10,8,10,6,8,6,8,10,9,10,7,8,7,7,7,8,7,7,6,8,7,10,7,8,6,8,9,10,6,9,7,9,8,10,7,6,7,8,6,7,8,6,8,7,8,8,10,6,9,9,8,7,9,7,9
"168","Gamma",2,0.9,0.84,11,-999,-999,-999,-999,-999,3,3,2,11,2,2,3,2,1,2,2,10,2,1,1,7,2,1,3,2,2,2,4,1,3,1,1,1,1,2,1,2,2,-7,4,2,3,3,1,2,2,1,2,2,1,2,1,1,1,1,2,3,3,1,3,3,2,2,2,2,9,2,2,3,1,1,2,4,1,1,-2,3,2,2,1,1,2,1,3,-4,2,2,1,2,3,1,3,2,1,2,2,2,1,1,1,2,2,2,1,5,2,-8,1,2,1,1,2,7,1,11,3,1,3,1,1,1,1,3,3,3,4,-6,2,3,2,1,1,2,1,2,2,2,2,-2,3,1,1,10,2,2,4,1,2,12,1,1,3,2,14,2,2,1,3,2,3,3,3,1,1,2,2,1,-8,2,1,3,2,2,3,2,1,1,2,2,2,2,-6,1,3,2,4,0,2,1,0,-4,2,4,2,2,2,2,1,2,8,3,2,3,2,2,6,10,9,8,6,7,8,6,6,8,8,6,8,8,7,10,6,6,10,9,6,9,8,7,10,8,10,6,10,10,7,7,9,9,9,7,10,10,6,8,7,6,6,8,10,9,9,10,8,8,6,10,8,8,8,6,8,9,9,6,7,7,9,9,7,8,9,9,10,9,8,10,9,7,10,10,9,8,10,8,9,8,8,6,6,9,10,9,7,9,10,10,10,7,9,8,7,8,8,10,7,9,10,9,6,6,8,10,8,8,10,6,9,8,6,6,10,7,6,8,10,7,7,8,7,9,10,10,9,7,7,10,10,9,9,10,10,6,10,8,9,8,8,8,8,7,8,7,7,7,10,6,9,7,7,7,8,7,7,9,10,9,10,10,9,10,8,8,9,10,8,7,6,8,7,7,9,10,10,8,6,8,8,7,6,9,7,10,9,7,6,10,10,7,10,8,6,10,8,8
"169","Normal",1.5,0.7,1.2,11,-999,-999,-999,-999,-999,3,16,12,4,0,3,-4,4,10,-4,2,2,12,-1,1,5,2,-5,1,1,-5,1,1,4,1,0,3,-4,2,2,1,7,2,0,-6,3,1,2,2,8,1,0,3,3,0,3,3,2,14,0,3,-5,6,12,2,2,12,0,3,1,-3,1,2,1,1,1,3,7,1,2,2,2,3,4,-1,-3,9,3,1,1,2,0,0,4,10,14,3,3,1,1,5,8,3,0,1,0,1,2,2,4,1,1,2,1,4,2,2,1,0,2,2,0,3,1,16,1,1,3,4,12,2,3,14,0,6,1,3,11,1,3,1,1,-4,5,1,0,3,1,3,4,3,2,0,3,0,1,3,-1,3,2,1,9,1,1,1,2,1,2,1,2,1,1,2,4,3,2,2,1,2,-1,2,2,1,2,2,14,1,10,-7,11,1,2,3,1,6,10,2,2,-2,1,2,2,3,-5,2,12,0,3,1,1,9,7,10,8,6,7,8,9,7,7,9,7,9,8,8,9,9,7,6,8,10,9,7,6,8,9,9,7,10,8,6,8,9,10,10,6,9,9,7,8,6,9,6,10,8,10,10,7,8,8,9,9,7,9,10,7,8,8,10,6,10,7,8,6,8,6,6,10,9,8,6,10,6,6,8,7,10,10,10,8,9,6,10,6,8,9,10,10,6,6,10,9,6,8,7,8,8,8,7,10,9,6,9,8,10,6,8,10,10,7,8,8,6,9,6,9,8,7,9,6,7,6,9,10,10,6,10,10,9,9,8,9,7,6,8,7,7,6,9,8,7,10,10,9,10,10,10,6,8,10,10,10,7,7,10,9,9,6,9,10,10,6,7,9,6,10,6,10,10,10,10,8,10,6,10,7,8,9,8,7,10,8,6,6,7,10,8,8,10,6,10,9,7,6,8,6,10,6,8,6
"170","Gamma",1.5,0.7,1.2,11,-999,-999,-999,-999,-999,0,1,2,2,1,-5,0,1,3,3,-6,12,4,1,1,1,3,5,3,13,-7,1,2,7,1,1,1,2,1,2,7,-1,2,1,3,0,2,-2,1,9,13,1,11,2,1,0,18,1,-3,1,1,1,5,0,1,1,2,1,-6,9,-3,1,4,0,1,16,1,13,1,1,7,0,-5,10,11,2,1,2,3,1,1,-7,4,3,1,12,5,0,1,11,1,11,1,-5,9,11,0,1,3,3,5,0,17,1,3,1,-2,0,2,4,0,3,2,0,1,2,1,0,2,1,-2,3,5,3,1,2,11,4,5,-3,1,0,5,17,-7,2,9,1,2,9,-1,-5,2,2,-3,1,3,2,2,9,4,5,1,2,1,1,3,0,1,1,2,1,3,4,1,1,-3,2,1,3,1,1,1,17,1,-1,2,6,-4,1,4,2,7,1,4,2,4,1,1,15,14,1,1,5,1,1,1,1,1,2,9,6,8,10,10,9,6,7,7,8,9,7,9,7,7,7,10,6,9,6,9,8,10,10,6,7,7,8,9,9,9,9,10,8,6,8,9,8,7,8,6,7,8,6,8,7,6,10,9,9,8,10,9,7,8,6,10,6,7,6,7,9,7,9,10,8,8,10,9,10,7,6,10,6,7,9,6,10,8,7,8,8,8,10,9,8,8,6,9,8,10,7,7,10,7,8,7,10,6,10,7,9,6,7,8,6,7,10,7,7,10,9,8,8,8,10,9,8,9,10,7,8,8,10,6,8,10,9,10,9,7,9,8,6,8,10,10,6,8,9,6,8,10,8,7,8,10,8,7,7,9,7,10,8,9,9,10,6,10,10,7,6,7,9,6,8,10,8,7,7,6,10,7,6,6,8,9,6,10,7,7,6,6,6,7,9,10,6,9,7,8,8,10,8,8,8,10,9,8,6
"171","Normal",2,0.7,1.2,11,-999,-999,-999,-999,-999,13,3,-4,2,3,-1,3,-1,-1,3,2,-9,2,1,3,-4,15,7,2,4,2,5,2,3,4,2,1,1,2,-2,10,0,18,2,0,-9,1,4,-8,1,1,3,-2,-5,0,2,2,2,2,4,4,5,2,2,2,1,1,4,13,3,0,2,12,0,1,-6,2,4,2,9,-1,-1,3,1,-1,15,3,0,5,3,1,4,3,2,3,2,1,3,3,-1,1,0,3,14,3,1,2,3,1,-1,2,12,12,1,3,3,3,0,3,-2,3,13,13,3,1,2,17,2,2,-1,2,3,3,3,1,5,-1,1,4,-1,14,0,4,3,1,-9,4,1,2,3,-6,1,3,2,0,0,4,2,4,5,1,2,1,-4,2,2,2,2,16,-2,0,2,10,2,2,4,3,6,2,15,1,2,2,1,10,12,3,3,4,3,1,2,-4,3,2,4,11,2,1,3,2,12,1,2,3,5,3,10,3,13,10,10,9,6,10,6,6,9,8,7,10,10,9,10,10,9,7,9,7,9,9,6,10,10,10,9,9,7,8,8,10,8,6,9,7,10,8,6,9,7,8,10,10,8,7,9,9,8,9,6,8,10,9,8,7,10,9,10,6,6,7,8,10,10,10,8,9,10,7,6,10,10,8,8,8,6,7,10,6,7,9,9,9,10,7,10,8,6,7,7,9,8,6,10,10,10,9,8,6,7,6,7,8,8,8,7,8,8,7,9,6,8,7,9,7,6,7,9,8,9,9,7,7,6,8,8,7,8,9,6,10,8,9,8,7,10,9,6,10,7,9,9,10,7,7,7,6,9,9,7,7,10,8,8,10,9,9,6,8,10,7,10,8,10,10,8,9,6,6,7,6,10,6,6,9,6,9,7,10,6,9,9,7,6,9,7,6,9,6,10,7,6,9,9,10,6,6,9,9,7
"172","Gamma",2,0.7,1.2,11,-999,-999,-999,-999,-999,2,2,11,4,1,5,15,1,3,-5,1,6,2,2,6,2,2,2,5,0,10,1,3,2,2,-4,13,3,-2,-5,2,7,-8,4,5,6,2,1,3,1,1,1,2,1,1,1,5,-2,2,4,-5,5,2,8,2,14,6,3,1,6,13,8,10,5,1,5,2,1,1,1,2,2,3,4,-2,5,3,7,3,2,0,2,1,-2,1,14,1,1,6,2,2,-1,11,1,2,3,9,1,1,2,15,1,2,2,0,-1,1,2,1,-4,-6,-2,1,2,8,0,2,10,4,16,14,3,1,5,1,1,1,2,1,12,4,9,1,0,1,8,1,3,3,8,8,3,4,2,0,3,15,2,2,1,4,1,-3,2,2,1,2,5,1,-6,1,2,1,3,2,2,1,1,1,2,3,2,4,1,2,11,1,-2,-7,7,1,3,2,3,3,2,1,1,3,-8,4,2,3,2,0,11,1,2,2,7,9,10,7,9,9,9,6,7,6,7,7,7,6,9,6,7,9,7,6,6,6,9,6,6,7,10,7,8,6,8,9,10,10,10,7,10,6,8,8,9,10,8,8,6,7,9,6,10,7,8,10,9,7,10,7,10,6,6,7,6,6,6,7,8,8,8,9,7,10,7,8,9,7,8,8,8,7,9,8,7,10,10,9,7,6,6,7,10,10,10,6,7,7,6,7,8,7,7,7,9,7,10,7,6,6,6,6,6,9,8,10,9,6,7,9,8,6,10,6,7,9,10,10,8,7,6,6,8,7,8,8,7,7,9,10,7,9,8,10,6,9,6,9,6,7,8,8,8,7,7,10,9,10,6,9,6,7,7,8,7,9,7,9,8,8,7,7,10,9,9,10,8,10,7,7,9,6,9,8,6,9,7,8,7,7,8,7,10,9,10,6,10,7,9,10,6,7,8,6,9
"173","Normal",1.5,0.9,1.2,11,-999,-999,-999,-999,-999,2,0,2,-1,2,0,4,6,3,7,3,1,3,2,2,1,1,1,0,1,0,2,-1,-3,1,1,8,1,1,2,1,1,1,1,2,2,2,-1,0,0,-1,0,0,1,2,3,3,1,-1,1,1,1,4,4,2,2,0,0,2,2,2,2,1,-6,1,2,9,2,0,2,3,2,0,0,1,1,2,2,0,1,1,2,0,1,2,3,3,2,11,4,2,0,3,2,1,3,2,3,1,2,1,1,13,1,2,0,0,1,1,3,4,3,3,1,3,0,3,2,0,0,3,3,3,0,1,2,2,2,4,1,13,2,2,1,0,1,3,1,2,2,0,2,1,0,2,2,1,1,1,2,-1,0,2,2,0,-1,1,7,1,2,0,0,1,2,2,1,0,3,1,0,1,2,2,2,1,3,1,1,3,2,3,9,1,3,1,1,0,2,1,4,3,2,1,2,2,4,2,1,-3,1,8,10,10,9,9,8,7,7,10,7,7,9,6,7,9,7,8,9,9,10,9,9,7,8,7,10,10,9,6,10,9,6,10,8,8,7,10,10,6,8,10,7,6,8,10,6,10,10,8,8,8,6,8,6,8,9,8,7,8,10,6,9,7,10,9,6,6,7,8,10,6,9,9,8,9,6,6,10,10,7,8,6,9,7,10,8,8,6,6,10,10,7,9,10,8,6,7,9,6,8,10,6,6,7,9,7,8,9,10,10,10,8,9,7,7,6,9,10,7,7,9,6,10,7,6,10,8,6,10,7,7,6,7,9,8,9,8,10,10,7,8,10,7,8,9,10,6,7,10,8,7,9,9,8,6,9,6,7,7,7,9,10,9,6,8,10,7,8,6,10,10,9,9,9,9,10,9,8,6,9,8,10,7,10,8,6,10,9,10,9,6,7,10,10,10,9,6,10,8,9
"174","Gamma",1.5,0.9,1.2,11,-999,-999,-999,-999,-999,3,3,0,7,2,1,1,2,2,1,0,1,2,4,1,3,3,5,3,0,2,0,3,4,0,3,0,3,1,3,0,0,6,1,1,3,3,1,0,1,2,2,2,3,0,2,3,1,4,0,3,5,0,1,8,1,1,1,1,1,0,4,1,0,0,2,3,1,2,0,3,3,0,5,1,0,2,4,1,4,2,0,1,1,1,2,2,1,1,0,2,1,0,1,2,5,5,2,1,-5,3,6,1,6,2,1,0,0,2,4,1,1,2,13,0,1,-9,0,2,1,1,1,1,1,1,0,1,2,1,1,0,1,-3,1,0,0,3,8,1,1,3,1,1,3,0,1,2,1,8,2,0,1,1,12,4,-1,1,0,2,3,2,1,1,1,1,2,0,0,0,1,2,0,2,1,3,2,1,0,1,1,14,1,0,1,1,1,2,1,1,2,1,2,1,1,5,4,1,0,2,1,8,9,9,8,9,8,6,9,6,6,8,9,10,9,8,8,10,9,8,10,8,6,6,6,7,8,8,9,6,7,9,9,10,9,9,7,8,10,10,10,8,8,8,6,8,7,6,6,7,8,7,8,10,7,10,7,7,7,8,10,9,9,10,7,10,7,9,9,9,9,9,7,8,8,7,7,7,10,10,8,9,6,10,6,9,10,10,9,7,7,9,9,6,8,7,9,8,8,8,7,7,6,10,8,10,10,10,6,9,7,7,8,10,7,10,7,10,6,7,9,8,7,9,6,7,9,6,6,9,9,7,6,8,8,6,8,9,9,10,6,10,8,6,7,6,7,8,10,8,9,6,7,8,10,10,6,9,9,9,8,9,7,7,9,6,7,6,6,10,9,8,10,9,9,9,8,8,8,7,10,7,7,6,10,9,7,8,6,8,8,10,7,6,8,9,7,8,9,7,6
"175","Normal",2,0.9,1.2,11,-999,-999,-999,-999,-999,3,3,1,1,0,2,1,-1,4,2,2,1,0,2,2,0,-2,2,1,1,2,1,1,2,4,2,2,3,1,3,1,1,3,3,5,3,4,7,0,3,0,1,0,2,3,0,2,2,1,2,2,2,0,6,4,1,5,1,-1,3,4,0,3,2,0,1,4,-1,2,3,2,3,3,0,2,2,1,2,2,2,3,2,2,13,3,11,2,-1,3,1,4,3,1,3,4,3,4,1,1,3,2,1,2,4,2,4,3,3,1,3,0,0,3,1,3,2,0,3,2,4,-1,3,3,1,8,2,3,2,2,1,3,2,2,2,2,3,2,2,1,2,0,3,2,3,1,2,1,2,2,-1,1,4,2,1,0,3,3,1,2,3,9,1,4,1,3,9,1,0,2,1,0,2,3,3,3,2,0,2,2,2,1,1,4,11,2,3,1,12,0,3,2,-1,2,2,3,2,1,1,3,2,10,10,10,10,10,9,9,6,10,10,6,6,8,7,9,8,9,8,6,9,8,9,8,7,6,7,7,9,9,8,9,9,6,6,7,8,8,7,7,6,6,6,7,7,8,9,6,10,6,9,6,8,8,6,6,6,10,7,9,7,7,9,7,8,8,9,7,7,9,6,8,9,10,6,6,6,10,10,6,8,10,6,7,10,6,8,9,6,6,9,9,9,9,7,9,6,9,10,7,8,7,9,7,10,9,9,10,10,6,10,6,10,8,8,8,10,7,10,8,9,9,9,8,10,10,6,10,7,9,10,7,10,7,10,9,9,6,8,9,6,6,10,7,7,10,9,10,9,7,9,9,7,6,7,6,7,9,9,9,10,9,10,10,9,9,8,8,8,6,6,10,9,6,7,8,7,6,7,9,8,6,9,9,6,7,7,9,8,8,7,9,7,7,8,6,7,9,7,9,6
"176","Gamma",2,0.9,1.2,11,-999,-999,-999,-999,-999,3,1,3,3,2,5,1,2,3,1,3,1,0,0,1,5,1,1,3,1,4,1,3,1,1,1,1,5,3,3,2,3,2,3,1,2,3,3,1,-1,-5,1,1,1,2,1,2,2,2,-6,1,1,3,2,16,1,1,2,1,3,1,3,2,14,3,1,1,2,2,0,3,1,1,2,2,1,2,3,2,3,-8,1,16,2,2,2,3,7,3,2,0,1,1,3,1,3,3,3,1,3,2,3,1,2,3,-5,5,1,1,1,3,2,3,2,1,3,3,3,3,2,1,2,3,4,1,1,3,2,1,12,7,1,2,1,1,2,1,2,2,1,4,2,4,3,2,4,2,8,2,3,9,1,2,2,2,2,1,1,1,2,3,2,3,2,1,-3,1,3,1,5,1,1,0,1,11,1,0,1,1,2,2,3,2,2,0,1,2,4,1,2,1,3,2,1,2,-4,4,3,0,11,6,10,10,8,8,8,10,9,7,9,10,9,9,8,10,7,8,8,8,7,6,7,9,8,10,6,7,6,6,9,7,10,8,7,8,7,9,8,8,9,8,7,10,9,6,10,7,10,9,10,10,9,8,6,6,7,8,9,8,9,8,8,6,9,8,7,6,7,9,9,9,7,9,10,6,7,10,6,9,10,10,6,7,8,6,8,8,6,9,6,6,8,10,9,8,9,7,7,8,10,9,6,7,7,9,6,9,9,10,9,8,9,7,8,9,7,9,9,10,9,7,6,7,7,9,8,6,6,6,8,9,9,9,9,6,6,9,9,10,9,10,9,8,6,10,8,10,10,6,6,8,6,8,7,7,6,8,10,6,9,9,6,8,9,6,10,6,6,9,7,7,7,8,6,8,6,10,10,10,8,8,9,9,6,7,6,9,9,9,8,7,9,10,6,7,7,6,8,10,8
"177","Normal",1.5,0.7,0.84,12,-999,-999,-999,-999,-999,15,2,1,2,8,2,7,1,2,2,18,2,3,0,2,2,0,2,1,-3,7,3,2,2,0,10,0,4,2,4,1,2,2,18,1,1,1,-4,9,2,1,12,3,3,2,1,1,1,1,1,0,1,2,3,0,1,2,8,0,10,4,1,-6,2,2,-2,2,9,1,8,2,1,12,1,2,-3,10,3,1,1,2,1,11,3,2,1,13,-5,1,11,-1,4,3,2,15,2,-1,3,1,16,3,2,0,0,10,2,0,1,1,2,2,3,-5,1,-5,5,2,1,2,2,2,2,2,2,2,-2,2,0,11,6,1,-1,1,-5,3,2,2,1,2,3,1,2,12,1,4,1,1,4,2,2,0,2,2,0,2,1,1,-1,2,15,1,-4,2,2,0,1,16,2,2,3,7,1,2,2,-3,2,1,3,1,1,1,2,4,1,2,1,2,2,1,2,2,0,1,-1,6,2,2,2,2,1,6,7,7,7,8,9,8,10,6,9,6,6,9,7,10,8,10,8,8,9,6,10,6,6,10,9,6,8,9,6,9,9,9,6,7,6,8,8,9,8,10,7,7,10,10,7,8,6,9,8,10,7,8,9,6,10,10,9,10,9,8,9,9,10,8,6,6,6,6,6,8,10,10,8,8,6,8,7,8,9,10,7,8,8,7,6,6,8,7,6,8,8,6,8,7,10,7,9,9,6,8,8,7,9,8,8,9,8,8,9,8,8,7,6,9,9,8,8,9,10,9,6,6,8,10,6,6,7,10,7,7,10,7,8,8,7,8,7,10,7,7,7,10,8,9,7,7,8,6,7,10,8,8,7,6,6,10,10,7,8,6,8,6,8,9,10,7,10,7,9,7,8,8,6,8,7,9,8,10,6,8,7,8,7,8,7,10,8,9,7,6,8,10,8,9,9,10,10,7,10
"178","Gamma",1.5,0.7,0.84,12,-999,-999,-999,-999,-999,1,9,1,2,-6,1,-3,1,4,1,5,2,2,0,3,-4,3,3,1,1,1,1,2,2,1,2,-7,7,1,8,-6,0,6,1,1,0,0,1,13,0,1,1,2,1,1,2,4,1,-7,0,3,1,2,-6,1,1,1,1,2,2,0,1,2,13,2,1,1,2,1,1,-7,2,0,1,-7,2,-3,2,3,1,2,3,2,0,1,13,1,2,-7,1,1,1,-3,3,10,2,0,7,2,1,-9,1,1,1,1,11,1,1,-4,0,9,2,1,1,3,13,1,1,1,1,1,3,2,2,-7,1,1,12,1,2,4,1,3,-6,15,2,2,10,2,1,2,7,-3,1,11,3,1,1,0,9,-7,0,2,1,10,2,1,1,2,0,7,1,3,1,12,2,1,1,15,1,11,2,1,3,2,3,3,2,1,2,1,-9,2,3,15,2,-3,11,1,1,5,1,1,2,15,1,9,1,1,1,10,9,10,10,10,10,7,9,9,7,10,10,6,10,6,10,7,6,8,6,10,9,6,9,7,7,9,6,9,6,10,9,10,9,8,7,7,7,9,10,8,9,9,8,6,7,7,10,8,9,8,7,8,10,8,6,7,6,7,7,9,9,6,7,9,7,9,8,6,7,10,6,8,6,9,6,7,9,6,8,9,7,7,7,9,8,7,10,9,9,6,9,9,10,8,10,10,8,8,9,10,6,8,7,6,7,7,7,7,6,9,9,6,10,7,7,10,10,7,9,8,6,6,9,8,10,8,9,9,9,9,7,6,10,8,6,6,6,6,8,6,7,10,8,8,8,7,6,8,10,8,7,6,10,10,6,10,8,6,6,6,8,8,7,9,9,10,9,6,10,8,9,9,8,10,8,7,6,8,9,7,10,8,10,6,9,6,9,10,7,6,10,6,8,7,8,6,6,6,8
"179","Normal",2,0.7,0.84,12,-999,-999,-999,-999,-999,1,7,-6,14,2,2,2,5,8,3,6,2,0,1,3,11,1,1,2,3,11,1,1,4,2,1,-7,2,4,0,-4,-3,1,2,-3,1,1,2,13,3,3,1,4,3,2,-6,3,1,13,1,2,4,2,2,3,12,1,2,3,2,3,1,3,1,2,1,1,-3,2,2,1,2,2,1,3,1,2,1,1,2,2,2,1,14,4,1,4,2,3,1,-8,0,2,1,2,2,5,2,2,11,1,4,2,2,2,2,2,-4,1,2,2,1,1,2,0,1,11,8,2,10,2,11,2,3,2,1,4,0,3,3,2,2,3,1,3,-1,-8,2,2,16,3,3,3,12,3,3,1,2,1,15,0,0,2,2,0,1,2,3,4,13,5,3,2,2,3,3,2,1,2,2,2,3,4,9,13,11,2,15,2,3,1,1,4,1,3,-8,3,2,-1,2,2,16,2,11,3,16,3,1,3,-4,7,8,9,9,6,8,6,7,10,6,9,10,7,7,6,7,7,6,10,8,6,8,7,6,6,9,9,8,8,6,6,7,9,6,6,10,7,8,7,6,10,6,7,7,6,10,6,8,6,9,6,10,6,8,10,8,7,10,10,6,7,10,10,8,7,6,10,9,9,9,8,8,8,6,8,6,10,8,8,7,7,9,7,7,7,6,6,7,9,6,9,8,7,9,8,6,8,8,7,7,6,7,7,7,6,9,9,10,9,9,6,9,8,10,8,10,9,7,6,7,9,6,7,7,10,8,8,6,10,9,9,6,6,8,7,10,9,9,10,6,7,9,10,7,6,10,6,10,6,8,7,6,8,9,8,10,9,7,10,9,9,8,10,6,6,10,6,10,8,7,7,7,6,9,9,9,8,7,10,7,10,8,6,6,9,10,6,9,10,6,10,8,10,10,6,7,6,10,10,10
